0	0	0	10	6	10
0	0	0	13	8	14
0	0	0	14	9	15
0	0	0	16	10	16
0	0	0	17	11	17
1	4	27	18	12	23
56	24	25	44	28	38
22	22	62	34	24	39
38	24	48	40	26	39
33	31	63	42	29	44
7	17	108	29	21	44
48	30	60	46	30	45
44	12	93	37	23	44
37	36	80	46	33	50
75	32	54	55	34	48
42	41	84	50	37	54
58	38	72	50	35	49
58	38	72	52	36	50
58	38	72	52	36	51
58	38	72	53	36	52
58	38	72	53	37	52
58	38	72	54	37	52
59	38	73	54	37	52
62	39	78	55	38	54
101	44	45	65	41	50
101	44	45	66	42	52
101	44	45	67	42	53
101	44	45	67	42	54
101	44	45	68	42	54
82	47	67	64	42	58
88	49	67	68	45	60
42	43	120	53	38	61
72	45	90	61	41	59
72	45	90	61	42	60
77	49	96	63	43	61
77	49	96	64	43	62
77	49	96	64	44	63
77	49	96	65	44	63
77	49	96	65	44	64
76	50	99	65	45	65
88	52	87	69	46	64
26	39	165	48	37	67
100	56	79	74	49	66
103	56	77	74	49	66
75	55	109	68	47	68
104	57	81	75	50	66
112	59	71	79	51	67
124	63	63	82	54	66
124	63	63	83	55	68
124	63	63	83	55	69
75	55	122	65	46	68
75	55	122	68	47	70
96	61	98	77	52	71
117	57	82	81	52	70
74	62	125	70	51	74
132	64	71	86	56	71
134	45	89	79	47	67
134	67	67	88	57	71
58	59	162	68	50	79
72	68	139	73	54	79
80	69	132	77	56	79
132	84	65	96	65	78
140	71	71	93	61	75
72	70	142	76	56	81
78	70	136	77	56	80
62	62	165	68	51	79
74	62	154	73	52	80
72	73	149	77	56	83
141	93	60	103	71	82
132	81	98	96	65	84
72	73	168	78	58	87
153	81	81	100	66	82
158	80	80	103	68	83
72	68	180	77	56	88
150	63	107	95	59	80
67	68	187	75	56	88
155	86	86	105	70	86
166	55	111	94	56	79
138	84	112	100	69	88
156	91	95	108	74	90
51	67	225	71	55	93
165	89	89	109	73	89
72	73	200	78	59	92
72	73	200	79	59	93
141	94	114	105	74	93
170	92	92	112	74	91
169	97	97	114	78	94
168	104	107	118	82	99
161	106	115	118	82	101
164	97	130	114	79	100
191	106	106	125	83	102
191	106	106	125	84	102
191	106	106	126	84	102
191	106	106	128	85	102
152	111	143	117	83	107
190	131	132	137	97	117
255	204	0	177	144	128
196	136	136	142	101	120
199	143	130	145	105	123
255	207	15	178	147	133
255	229	25	186	160	143
91	211	255	146	138	162
255	255	51	195	178	158
238	217	228	184	160	176
237	229	249	188	168	184
255	255	255	203	188	199
255	0	0	0	0	0
0	255	0	0	0	0
0	0	255	0	0	0
255	255	0	0	0	0
255	0	255	0	0	0
0	255	255	0	0	0
